AIRPORT_CODE,AIRPORT_NAME,ORIGIN_STATE,LATITUDE,LONGITUDE,FLIGHT_YEAR,TOTAL_DEPARTURES,ON_TIME_RATE_PCT,CANCELLATION_RATE_PCT,AVG_DEP_DELAY_MINS,AVG_DISTANCE
SCC,Deadhorse Airport,Alaska,70.19470215,-148.46499629999997,2016,819,91.82,2.32,-8.29,257.71
JLN,Joplin Regional Airport,Missouri,37.151798248291016,-94.49829864501952,2016,433,84.76,2.31,6.47,327.0
RHI,Rhinelander Oneida County Airport,Wisconsin,45.63119888305664,-89.46749877929688,2016,1039,83.93,2.31,3.47,153.18
TVC,Cherry Capital Airport,Michigan,44.74140167236328,-85.58219909667969,2016,2219,82.29,2.3,9.2,261.4
SAF,Santa Fe Municipal Airport,New Mexico,35.617099762,-106.088996887,2016,1201,74.02,2.25,16.77,548.44
DCA,Ronald Reagan Washington National Airport,Virginia,38.85209999999999,-77.037697,2016,77615,81.08,2.24,7.71,764.04
BPT,Southeast Texas Regional Airport,Texas,29.9507999420166,-94.02069854736328,2016,541,75.79,2.22,16.74,270.0
BRO,Brownsville South Padre Island International Airport,Texas,25.90679931640625,-97.4259033203125,2016,2032,88.04,2.21,3.94,367.0
ORF,Norfolk International Airport,Virginia,36.89459991455078,-76.20120239257812,2016,11047,83.63,2.2,9.76,518.51
SYR,Syracuse Hancock International Airport,New York,43.11119842529297,-76.1063003540039,2016,5869,82.28,2.2,8.33,530.09
BQN,BQN,Puerto Rico,,,2016,1867,77.72,2.2,10.01,1299.44
SWF,Stewart International Airport,New York,41.50410079956055,-74.10479736328125,2016,732,77.87,2.19,10.15,1052.86
GRI,Central Nebraska Regional Airport,Nebraska,40.96749877929688,-98.30960083007812,2016,319,74.92,2.19,10.26,561.0
CRW,Yeager Airport,West Virginia,38.37310028076172,-81.59320068359375,2016,2545,79.14,2.16,12.01,448.56
EGE,Eagle County Regional Airport,Colorado,39.64260101000001,-106.91799930000002,2016,1717,82.06,2.15,9.44,875.97
BET,Bethel Airport,Alaska,60.77980042000001,-161.8379974,2016,978,92.02,2.15,-7.87,399.0
ROA,Roanoke–Blacksburg Regional Airport,Virginia,37.3255,-79.975403,2016,2207,82.01,2.13,8.3,400.68
FAR,Hector International Airport,North Dakota,46.92070007324219,-96.81580352783205,2016,3965,83.78,2.12,7.81,438.21
CHS,Charleston Air Force Base-International Airport,South Carolina,32.89860153,-80.04049683,2016,14630,83.07,2.08,8.88,561.74
LCH,Lake Charles Regional Airport,Louisiana,30.126100540161133,-93.22329711914062,2016,1259,87.85,2.07,3.59,174.1
GUC,Gunnison Crested Butte Regional Airport,Colorado,38.53390121,-106.93299870000003,2016,242,81.41,2.07,15.42,742.56
LAN,Capital City Airport,Michigan,42.77870178222656,-84.58740234375,2016,2429,82.83,2.06,7.34,182.98
AVP,Wilkes Barre Scranton International Airport,Pennsylvania,41.3385009766,-75.72339630130001,2016,1661,84.53,2.05,7.03,520.66
UST,Northeast Florida Regional Airport,Florida,29.9592,-81.339798,2016,195,79.49,2.05,13.01,827.56
FSD,Joe Foss Field Airport,South Dakota,43.5820007324,-96.741897583,2016,4222,83.42,2.04,7.21,425.15
RIC,Richmond International Airport,Virginia,37.50519943237305,-77.3197021484375,2016,15884,80.52,2.03,10.57,531.32
DAY,James M Cox Dayton International Airport,Ohio,39.90240097045898,-84.21939849853516,2016,6490,84.85,2.02,7.62,433.16
ATW,Appleton International Airport,Wisconsin,44.2580986023,-88.5190963745,2016,3375,85.81,2.01,3.82,285.58
