FLIGHT_YEAR,FLIGHT_MONTH,PRIMARY_DELAY_CAUSE,TOTAL_FLIGHTS,TOTAL_DELAY_MINS,AVG_DELAY_MINS,TOTAL_CARRIER_DELAY_MINS,TOTAL_WEATHER_DELAY_MINS,TOTAL_NAS_DELAY_MINS,TOTAL_LATE_AIRCRAFT_DELAY_MINS,TOTAL_SECURITY_DELAY_MINS
2016,12,Security,168,7307.0,43.49,144.0,48.0,775.0,632.0,5708.0
2016,12,NAS,29265,1288631.0,44.03,66053.0,15980.0,1137594.0,68518.0,486.0
2016,12,Late Aircraft,42083,2941570.0,69.9,232270.0,30212.0,152101.0,2525428.0,1559.0
2016,12,Carrier,28928,2059078.0,71.18,1826298.0,3173.0,108682.0,120760.0,165.0
2017,1,NAS,30866,1409671.0,45.67,62817.0,17104.0,1258948.0,70362.0,440.0
2017,1,Carrier,25628,1951170.0,76.13,1739170.0,2343.0,105094.0,104132.0,431.0
2017,1,Security,149,7085.0,47.55,140.0,0.0,510.0,538.0,5897.0
2017,1,Late Aircraft,37789,2591502.0,68.58,180077.0,21301.0,141427.0,2247695.0,1002.0
2017,1,Weather,3267,337021.0,103.16,1949.0,288386.0,32047.0,14618.0,21.0
2017,2,Carrier,16701,1193886.0,71.49,1089219.0,1524.0,52381.0,50645.0,117.0
2017,2,Weather,1924,168218.0,87.43,1147.0,145774.0,15950.0,5331.0,16.0
2017,2,NAS,21457,955528.0,44.53,31639.0,8188.0,876957.0,38469.0,275.0
2017,2,Late Aircraft,24120,1546733.0,64.13,94521.0,10128.0,78762.0,1362903.0,419.0
2017,2,Security,62,2450.0,39.52,35.0,33.0,228.0,225.0,1929.0
2017,3,Weather,1988,189397.0,95.27,1632.0,164884.0,14615.0,8253.0,13.0
2017,3,Security,115,4620.0,40.17,61.0,17.0,439.0,322.0,3781.0
2017,3,Late Aircraft,35344,2281042.0,64.54,147203.0,12460.0,122407.0,1998577.0,395.0
2017,3,Carrier,22941,1661835.0,72.44,1500562.0,1525.0,75514.0,84014.0,220.0
2017,3,NAS,28250,1290436.0,45.68,46889.0,6752.0,1173627.0,62881.0,287.0
2017,4,Late Aircraft,36850,2727346.0,74.01,172978.0,31053.0,140618.0,2381899.0,798.0
2017,4,Weather,2940,362196.0,123.2,2318.0,322486.0,20735.0,16657.0,0.0
2017,4,NAS,28651,1542383.0,53.83,47887.0,9829.0,1398747.0,85559.0,361.0
2017,4,Security,82,3706.0,45.2,22.0,12.0,311.0,150.0,3211.0
2017,4,Carrier,23620,1956383.0,82.83,1777972.0,2247.0,80181.0,95857.0,126.0
2017,5,NAS,32419,1698218.0,52.38,52526.0,6215.0,1547599.0,91627.0,251.0
2017,5,Late Aircraft,38307,2534214.0,66.16,177809.0,12591.0,138032.0,2204647.0,1135.0
2017,5,Security,98,4338.0,44.27,112.0,0.0,389.0,470.0,3367.0
2017,5,Carrier,24004,1740596.0,72.51,1571180.0,1334.0,75316.0,92632.0,134.0
2017,5,Weather,1852,163148.0,88.09,649.0,138585.0,12756.0,11158.0,0.0
2017,6,Security,170,9058.0,53.28,76.0,17.0,758.0,581.0,7626.0
2017,6,Weather,3481,324504.0,93.22,1667.0,272479.0,26234.0,24124.0,0.0
2017,6,Late Aircraft,46502,3262050.0,70.15,219893.0,34496.0,165741.0,2840639.0,1281.0
2017,6,NAS,32437,1749004.0,53.92,64232.0,10395.0,1570458.0,103309.0,610.0
2017,6,Carrier,28129,2100920.0,74.69,1877159.0,2335.0,96044.0,125334.0,48.0
2017,7,Carrier,28605,2135585.0,74.66,1918929.0,1884.0,88662.0,126005.0,105.0
2017,7,Security,170,9452.0,55.6,137.0,0.0,727.0,531.0,8057.0
2017,7,Weather,4273,364675.0,85.34,2954.0,311167.0,25990.0,24564.0,0.0
2017,7,NAS,31194,1711673.0,54.87,60478.0,12294.0,1541987.0,96501.0,413.0
2017,7,Late Aircraft,45839,3232643.0,70.52,221165.0,32569.0,158841.0,2818894.0,1174.0
2017,8,NAS,30291,1468376.0,48.48,54722.0,10482.0,1318445.0,84292.0,435.0
2017,8,Weather,3199,277276.0,86.68,1142.0,234954.0,22527.0,18653.0,0.0
2017,8,Security,195,9077.0,46.55,160.0,65.0,914.0,400.0,7538.0
2017,8,Carrier,27122,1921312.0,70.84,1723544.0,1455.0,86582.0,109640.0,91.0
2017,8,Late Aircraft,43901,2871268.0,65.4,196681.0,22256.0,154700.0,2496521.0,1110.0
2017,9,Security,95,3966.0,41.75,59.0,0.0,346.0,163.0,3398.0
2017,9,NAS,18584,837782.0,45.08,28078.0,4019.0,767814.0,37605.0,266.0
2017,9,Carrier,17372,1179484.0,67.9,1083858.0,832.0,48031.0,46621.0,142.0
2017,9,Late Aircraft,21356,1343655.0,62.92,84251.0,6105.0,64488.0,1188401.0,410.0
2017,9,Weather,1507,145243.0,96.38,728.0,128720.0,9987.0,5808.0,0.0
2017,10,Security,169,8682.0,51.37,118.0,0.0,486.0,265.0,7813.0
2017,10,Weather,1140,102680.0,90.07,548.0,91248.0,6388.0,4490.0,6.0
2017,10,Carrier,19779,1397088.0,70.63,1285142.0,663.0,54837.0,56373.0,73.0
2017,10,Late Aircraft,26124,1655021.0,63.35,97653.0,6677.0,74081.0,1476001.0,609.0
2017,10,NAS,21815,1046896.0,47.99,31706.0,2637.0,970066.0,42089.0,398.0
2017,11,NAS,15761,633827.0,40.21,23322.0,2606.0,583062.0,24526.0,311.0
2017,11,Weather,709,77374.0,109.13,322.0,69979.0,4690.0,2383.0,0.0
2017,11,Carrier,15902,1062868.0,66.84,982444.0,222.0,37551.0,42588.0,63.0
2017,11,Security,169,15318.0,90.64,153.0,0.0,316.0,655.0,14194.0
2017,11,Late Aircraft,18757,1157589.0,61.72,73301.0,3482.0,49820.0,1029542.0,1444.0
2017,12,Carrier,24302,1743829.0,71.76,1563279.0,2294.0,84503.0,93625.0,128.0
2017,12,NAS,24817,1107798.0,44.64,53029.0,17371.0,980972.0,55623.0,803.0
2017,12,Security,238,11185.0,47.0,104.0,0.0,941.0,324.0,9816.0
2017,12,Late Aircraft,33372,2175185.0,65.18,162356.0,17621.0,107698.0,1886328.0,1182.0
2017,12,Weather,2573,341023.0,132.54,2798.0,293664.0,32510.0,12051.0,0.0
2018,1,Late Aircraft,37383,2651961.0,70.94,166188.0,31924.0,134290.0,2318475.0,1084.0
2018,1,NAS,28700,1267095.0,44.15,47165.0,20013.0,1131762.0,67685.0,470.0
2018,1,Security,195,9271.0,47.54,67.0,0.0,603.0,358.0,8243.0
2018,1,Carrier,27439,2075853.0,75.65,1882852.0,3310.0,88944.0,100634.0,113.0
2018,1,Weather,4043,472713.0,116.92,3145.0,408300.0,40965.0,20275.0,28.0
2018,2,Carrier,25166,1810367.0,71.94,1629896.0,2540.0,87644.0,90054.0,233.0
2018,2,NAS,31521,1388486.0,44.05,55340.0,19214.0,1239487.0,74144.0,301.0
2018,2,Security,165,7208.0,43.68,73.0,0.0,486.0,313.0,6336.0
2018,2,Weather,3262,374538.0,114.82,2673.0,322441.0,32070.0,17334.0,20.0
2018,2,Late Aircraft,37188,2513490.0,67.59,153427.0,22873.0,123538.0,2212956.0,696.0
2018,3,Weather,2154,241089.0,111.93,1631.0,211786.0,18685.0,8987.0,0.0
2018,3,Security,233,10313.0,44.26,104.0,0.0,691.0,456.0,9062.0
2018,3,NAS,28931,1164203.0,40.24,47925.0,9094.0,1053028.0,53575.0,581.0
2018,3,Late Aircraft,38291,2345433.0,61.25,166570.0,10873.0,110062.0,2057123.0,805.0
2018,3,Carrier,29143,1930287.0,66.24,1749147.0,1630.0,84254.0,94950.0,306.0
2018,4,NAS,33166,1512390.0,45.6,53735.0,11065.0,1365085.0,82156.0,349.0
2018,4,Carrier,27865,1923624.0,69.03,1730380.0,1671.0,91116.0,100307.0,150.0
2018,4,Late Aircraft,40102,2716563.0,67.74,184358.0,18057.0,147761.0,2365505.0,882.0
2018,4,Security,155,5965.0,38.48,24.0,0.0,386.0,220.0,5335.0
2018,4,Weather,2518,288292.0,114.49,2201.0,245295.0,24063.0,16733.0,0.0
2018,5,Late Aircraft,46609,3295290.0,70.7,214707.0,34838.0,167187.0,2877702.0,856.0
2018,5,Security,204,10616.0,52.04,71.0,0.0,534.0,503.0,9508.0
2018,5,Weather,4486,475484.0,105.99,2230.0,411697.0,34606.0,26947.0,4.0
2018,5,Carrier,31242,2186614.0,69.99,1971045.0,2385.0,97863.0,115260.0,61.0
2018,5,NAS,35854,1864150.0,51.99,60286.0,15004.0,1688448.0,100096.0,316.0
2018,6,Carrier,35865,2637033.0,73.53,2369734.0,4914.0,116493.0,145606.0,286.0
2018,6,Security,185,8237.0,44.52,98.0,0.0,684.0,477.0,6978.0
2018,6,Weather,5900,557034.0,94.41,3529.0,477681.0,37945.0,37879.0,0.0
2018,6,NAS,38380,1978565.0,51.55,71711.0,16761.0,1768920.0,120562.0,611.0
2018,6,Late Aircraft,53775,4024916.0,74.85,258733.0,57098.0,211364.0,3496442.0,1279.0
2018,7,Weather,6557,637855.0,97.28,4805.0,542518.0,45180.0,45352.0,0.0
2018,7,Late Aircraft,57550,4330973.0,75.26,274119.0,60635.0,222153.0,3772653.0,1413.0
2018,7,Carrier,37378,2645941.0,70.79,2370252.0,4051.0,120335.0,150991.0,312.0
2018,7,NAS,40904,2231233.0,54.55,77767.0,17095.0,2008385.0,127460.0,526.0
2018,7,Security,263,11051.0,42.02,85.0,3.0,674.0,800.0,9489.0
2018,8,NAS,44289,2560017.0,57.8,78167.0,20717.0,2309040.0,151324.0,769.0
2018,8,Carrier,36037,2732473.0,75.82,2452928.0,4159.0,127488.0,147671.0,227.0
2018,8,Security,228,11110.0,48.73,219.0,0.0,727.0,782.0,9382.0
2018,8,Late Aircraft,55310,4245561.0,76.76,251922.0,54540.0,242631.0,3695284.0,1184.0
2018,8,Weather,6439,605584.0,94.05,3823.0,514390.0,46644.0,40650.0,77.0
2018,9,Security,210,19308.0,91.94,98.0,0.0,484.0,859.0,17867.0
2018,9,Carrier,25026,1787022.0,71.41,1631652.0,2010.0,77562.0,75732.0,66.0
2018,9,NAS,32408,1589119.0,49.03,44977.0,15304.0,1450947.0,77613.0,278.0
2018,9,Late Aircraft,33358,2365311.0,70.91,125400.0,26492.0,118117.0,2093784.0,1518.0
2018,9,Weather,3962,384986.0,97.17,1348.0,332113.0,27103.0,24422.0,0.0
2018,10,Carrier,26998,1888522.0,69.95,1713525.0,891.0,88882.0,85116.0,108.0
2018,10,Weather,2548,276925.0,108.68,624.0,242445.0,18115.0,15732.0,9.0
2018,10,NAS,34509,1407381.0,40.78,52888.0,10831.0,1270473.0,72802.0,387.0
2018,10,Late Aircraft,37481,2482233.0,66.23,141515.0,20178.0,139135.0,2180704.0,701.0
2018,10,Security,123,6546.0,53.22,162.0,0.0,254.0,253.0,5877.0
2018,11,Carrier,29084,2067727.0,71.1,1862575.0,1998.0,101308.0,101766.0,80.0
2018,11,NAS,37079,1636734.0,44.14,58606.0,15568.0,1475250.0,86866.0,444.0
2018,11,Weather,2916,365952.0,125.5,2432.0,317630.0,29213.0,16664.0,13.0
2018,11,Late Aircraft,42520,2881249.0,67.76,179470.0,25472.0,172348.0,2503016.0,943.0
2018,11,Security,186,8755.0,47.07,74.0,0.0,524.0,262.0,7895.0
2018,12,NAS,33565,1372388.0,40.89,55823.0,10942.0,1232269.0,72668.0,686.0
2018,12,Carrier,30401,2100258.0,69.09,1882845.0,1454.0,98057.0,117737.0,165.0
2018,12,Security,276,11471.0,41.56,298.0,0.0,921.0,839.0,9413.0
2018,12,Late Aircraft,41569,2761877.0,66.44,192300.0,24997.0,144905.0,2397950.0,1725.0
2018,12,Weather,2871,325432.0,113.35,1378.0,287907.0,18962.0,17185.0,0.0
2019,1,Late Aircraft,37933,2757916.0,72.7,155196.0,30912.0,167302.0,2403691.0,815.0
2019,1,NAS,35994,1818879.0,50.53,54223.0,18650.0,1647455.0,98054.0,497.0
2019,1,Weather,4040,467440.0,115.7,2773.0,412149.0,32944.0,19574.0,0.0
2019,1,Security,178,7770.0,43.65,135.0,0.0,463.0,365.0,6807.0
2019,1,Carrier,27077,2110785.0,77.95,1903275.0,4270.0,99326.0,103667.0,247.0
2019,2,Weather,4307,574061.0,133.29,3639.0,496874.0,49153.0,24334.0,61.0
2019,2,Carrier,30731,2434953.0,79.23,2191622.0,3674.0,117578.0,121944.0,135.0
2019,2,NAS,38576,1848705.0,47.92,66541.0,26761.0,1650669.0,104399.0,335.0
2019,2,Security,217,17761.0,81.85,49.0,0.0,736.0,776.0,16200.0
2019,2,Late Aircraft,45646,3376279.0,73.97,190120.0,35518.0,204556.0,2944727.0,1358.0
2019,3,Late Aircraft,42094,2956512.0,70.24,188483.0,17458.0,131792.0,2617840.0,939.0
2019,3,Security,220,9722.0,44.19,138.0,4.0,635.0,413.0,8532.0
2019,3,Carrier,31869,2366207.0,74.25,2160372.0,866.0,93743.0,110863.0,363.0
2019,3,NAS,29629,1276368.0,43.08,49491.0,9915.0,1151285.0,65311.0,366.0
2019,3,Weather,2465,289590.0,117.48,1158.0,254466.0,19988.0,13970.0,8.0
2019,4,Carrier,30974,2364787.0,76.35,2156538.0,1899.0,92123.0,114125.0,102.0
2019,4,Late Aircraft,43166,3244404.0,75.16,193323.0,35265.0,154883.0,2859859.0,1074.0
2019,4,Security,186,8673.0,46.63,109.0,0.0,495.0,502.0,7567.0
2019,4,NAS,30720,1631156.0,53.1,50957.0,13918.0,1478492.0,87137.0,652.0
2019,4,Weather,3472,428021.0,123.28,1876.0,375099.0,27598.0,23448.0,0.0
2019,5,Late Aircraft,50346,3784551.0,75.17,224648.0,49425.0,187540.0,3321980.0,958.0
2019,5,Weather,4829,598838.0,124.01,2618.0,518314.0,40622.0,37223.0,61.0
2019,5,Security,167,6682.0,40.01,58.0,12.0,479.0,421.0,5712.0
2019,5,Carrier,33634,2472037.0,73.5,2229908.0,2434.0,109776.0,129651.0,268.0
2019,5,NAS,37307,2014185.0,53.99,65802.0,15178.0,1827075.0,105628.0,502.0
2019,6,Security,342,23856.0,69.75,219.0,13.0,963.0,1101.0,21560.0
2019,6,Weather,6421,649641.0,101.17,4318.0,548289.0,51916.0,45094.0,24.0
2019,6,NAS,44555,2488735.0,55.86,87963.0,23732.0,2216973.0,159339.0,728.0
2019,6,Carrier,39369,3067739.0,77.92,2748543.0,4269.0,137270.0,177251.0,406.0
2019,6,Late Aircraft,62671,4873913.0,77.77,311692.0,53443.0,267631.0,4239174.0,1973.0
2019,7,Weather,6527,722110.0,110.63,5441.0,628484.0,39601.0,48494.0,90.0
2019,7,Late Aircraft,54328,4317243.0,79.47,271139.0,53150.0,200029.0,3791718.0,1207.0
2019,7,Security,237,10087.0,42.56,163.0,0.0,572.0,660.0,8692.0
2019,7,Carrier,37163,3003683.0,80.82,2724129.0,4226.0,115286.0,159792.0,250.0
2019,7,NAS,37375,2286065.0,61.17,71862.0,16376.0,2070244.0,127087.0,496.0
2019,8,Late Aircraft,52947,3982618.0,75.22,240440.0,37941.0,206825.0,3495892.0,1520.0
2019,8,Weather,5194,529703.0,101.98,2106.0,459394.0,36896.0,31307.0,0.0
2019,8,Carrier,34725,2779725.0,80.05,2522686.0,3305.0,113416.0,140103.0,215.0
2019,8,Security,230,9756.0,42.42,120.0,17.0,506.0,369.0,8744.0
2019,8,NAS,40182,2271977.0,56.54,69235.0,15890.0,2057576.0,128488.0,788.0
2019,9,Carrier,23261,1741172.0,74.85,1606009.0,1139.0,63263.0,70655.0,106.0
2019,9,Late Aircraft,29889,2106876.0,70.49,111462.0,13957.0,105714.0,1874907.0,836.0
2019,9,Security,135,5180.0,38.37,29.0,0.0,482.0,263.0,4406.0
2019,9,NAS,28049,1443578.0,51.47,38233.0,6647.0,1337387.0,61057.0,254.0
2019,9,Weather,2234,247353.0,110.72,1033.0,221973.0,14798.0,9549.0,0.0
2019,10,Weather,2318,257458.0,111.07,1191.0,225353.0,17487.0,13427.0,0.0
2019,10,Carrier,27717,2054548.0,74.13,1874992.0,1534.0,87379.0,90363.0,280.0
2019,10,NAS,34519,1554832.0,45.04,51546.0,8940.0,1409716.0,84381.0,249.0
2019,10,Security,176,7344.0,41.73,178.0,0.0,618.0,324.0,6224.0
2019,10,Late Aircraft,40316,2669554.0,66.22,153063.0,16582.0,140189.0,2358990.0,730.0
2019,11,NAS,26112,1050694.0,40.24,41282.0,7801.0,949696.0,51712.0,203.0
2019,11,Security,211,8866.0,42.02,182.0,9.0,342.0,518.0,7815.0
2019,11,Late Aircraft,32396,2189572.0,67.59,131762.0,13129.0,104829.0,1938892.0,960.0
2019,11,Carrier,25320,1858199.0,73.39,1703416.0,858.0,74809.0,79028.0,88.0
2019,11,Weather,1612,226942.0,140.78,660.0,203645.0,13585.0,9052.0,0.0
2019,12,Carrier,35141,2621934.0,74.61,2358794.0,2625.0,114793.0,145611.0,111.0
2019,12,NAS,36835,1772144.0,48.11,71402.0,13409.0,1583120.0,103377.0,836.0
2019,12,Late Aircraft,51611,3788138.0,73.4,251950.0,28221.0,197651.0,3308818.0,1498.0
2019,12,Weather,3102,392207.0,126.44,2602.0,345089.0,25840.0,18676.0,0.0
2019,12,Security,256,9997.0,39.05,66.0,0.0,744.0,551.0,8636.0
2020,1,Weather,3264,383206.0,117.4,1676.0,351868.0,22592.0,7064.0,6.0
2020,1,NAS,25994,1089436.0,41.91,40657.0,11779.0,999300.0,37329.0,371.0
2020,1,Carrier,26906,2025583.0,75.28,1885713.0,1599.0,74921.0,63268.0,82.0
2020,1,Late Aircraft,25947,1777728.0,68.51,103997.0,12849.0,76284.0,1583944.0,654.0
2020,1,Security,174,7297.0,41.94,94.0,0.0,512.0,311.0,6380.0
2020,2,NAS,27781,1271466.0,45.77,42815.0,11803.0,1161317.0,55133.0,398.0
2020,2,Weather,3072,339296.0,110.45,1090.0,307425.0,21453.0,9328.0,0.0
2020,2,Security,146,7314.0,50.1,118.0,0.0,485.0,211.0,6500.0
2020,2,Late Aircraft,28496,2175249.0,76.34,114011.0,18706.0,115652.0,1926288.0,592.0
2020,2,Carrier,25121,2025729.0,80.64,1875483.0,1280.0,79865.0,68942.0,159.0
2020,3,Carrier,17000,1294589.0,76.15,1213446.0,731.0,46157.0,34153.0,102.0
2020,3,NAS,18684,721853.0,38.63,21873.0,3281.0,673150.0,23186.0,363.0
2020,3,Weather,1120,107929.0,96.37,511.0,95131.0,7691.0,4596.0,0.0
2020,3,Late Aircraft,16823,1120781.0,66.62,50499.0,4410.0,48146.0,1017338.0,388.0
2020,3,Security,93,3099.0,33.32,25.0,11.0,228.0,154.0,2681.0
2020,4,Carrier,4586,355670.0,77.56,344006.0,56.0,8533.0,3075.0,0.0
2020,4,NAS,2737,85272.0,31.16,3005.0,354.0,80988.0,917.0,8.0
2020,4,Late Aircraft,1377,89771.0,65.19,3137.0,244.0,2177.0,84152.0,61.0
2020,4,Security,29,1218.0,42.0,20.0,0.0,41.0,16.0,1141.0
2020,4,Weather,309,26146.0,84.61,61.0,24155.0,1568.0,362.0,0.0
2020,5,Security,42,2153.0,51.26,0.0,0.0,76.0,18.0,2059.0
2020,5,NAS,2117,85910.0,40.58,2382.0,569.0,81657.0,1280.0,22.0
2020,5,Late Aircraft,1459,110492.0,75.73,4621.0,908.0,2872.0,101968.0,123.0
2020,5,Carrier,3746,254152.0,67.85,244495.0,195.0,6531.0,2894.0,37.0
2020,5,Weather,430,29994.0,69.75,32.0,27975.0,1370.0,617.0,0.0
2020,6,NAS,3931,132922.0,33.81,4659.0,1941.0,123364.0,2879.0,79.0
2020,6,Carrier,6668,410538.0,61.57,391875.0,471.0,10757.0,7368.0,67.0
2020,6,Security,69,2125.0,30.8,12.0,0.0,132.0,3.0,1978.0
2020,6,Late Aircraft,3071,203583.0,66.29,10968.0,1514.0,6768.0,184183.0,150.0
2020,6,Weather,1210,94632.0,78.21,358.0,87510.0,5285.0,1461.0,18.0
2020,7,Carrier,11980,846191.0,70.63,808950.0,1549.0,21829.0,13815.0,48.0
2020,7,Late Aircraft,6483,511252.0,78.86,21339.0,5997.0,17401.0,466274.0,241.0
2020,7,NAS,8799,339094.0,38.54,11412.0,3968.0,315543.0,7905.0,266.0
2020,7,Security,165,7488.0,45.38,12.0,0.0,390.0,33.0,7053.0
2020,7,Weather,2486,185702.0,74.7,871.0,169964.0,9033.0,5834.0,0.0
2020,8,Security,144,5100.0,35.42,14.0,9.0,436.0,77.0,4564.0
2020,8,NAS,8958,331842.0,37.04,10196.0,4246.0,310016.0,7211.0,173.0
2020,8,Carrier,11332,754478.0,66.58,719682.0,1453.0,21347.0,11774.0,222.0
2020,8,Late Aircraft,5911,413816.0,70.01,19059.0,4084.0,15277.0,375180.0,216.0
2020,8,Weather,2622,199063.0,75.92,775.0,180550.0,12644.0,5058.0,36.0
2020,9,Carrier,9122,591010.0,64.79,567206.0,1270.0,14597.0,7826.0,111.0
2020,9,NAS,5744,203772.0,35.48,7258.0,2231.0,188559.0,5546.0,178.0
2020,9,Late Aircraft,3968,270349.0,68.13,11244.0,2726.0,9773.0,246342.0,264.0
2020,9,Security,162,6227.0,38.44,106.0,10.0,336.0,56.0,5719.0
2020,9,Weather,1199,114028.0,95.1,158.0,106327.0,4451.0,3074.0,18.0
2020,10,Late Aircraft,6344,483780.0,76.26,21045.0,4201.0,17875.0,440440.0,219.0
2020,10,Security,178,6473.0,36.37,40.0,0.0,314.0,144.0,5975.0
2020,10,Carrier,11839,819693.0,69.24,781627.0,414.0,22646.0,14742.0,264.0
2020,10,NAS,9704,323525.0,33.34,12456.0,3832.0,298423.0,8612.0,202.0
2020,10,Weather,1442,145584.0,100.96,403.0,137371.0,6061.0,1749.0,0.0
2020,11,NAS,9165,281687.0,30.74,11967.0,3490.0,260292.0,5764.0,174.0
2020,11,Late Aircraft,5543,402260.0,72.57,17025.0,1178.0,12472.0,371259.0,326.0
2020,11,Security,148,5866.0,39.64,109.0,0.0,455.0,85.0,5217.0
2020,11,Weather,1020,93314.0,91.48,194.0,88127.0,3741.0,1242.0,10.0
2020,11,Carrier,11528,772013.0,66.97,733298.0,183.0,23988.0,14350.0,194.0
2020,12,Weather,1658,208321.0,125.65,830.0,195140.0,9838.0,2508.0,5.0
